3241	13
3242	15
255	15
3237	257
3138	274
3014	315
3130	351
3089	364
3153	427
3238	473
3179	519
3059	522
3229	522
3053	523
3044	536
3099	544
3061	557
3128	575
2005	612
3221	631
3063	670
3043	682
3041	712
3046	772
3078	808
3096	850
3122	855
3048	855
3065	864
3070	864
3123	871
3056	872
3055	921
3075	955
3066	988
3057	1013
3232	1022
3016	1039
3105	1047
3080	1066
3072	1077
3058	1100
3127	1120
3069	1150
3114	1198
3054	1204
3042	1207
3062	1214
3049	1224
3047	1235
3060	1254
3067	1299
3095	1326
3050	1382
3116	1408
3068	1410
3071	1471
3073	1545
2001	1628
3052	1633
3076	1658
3091	1731
3121	1788
3157	1796
119	1858
3094	1861
3082	1901
3151	1904
3085	1962
3120	1980
3081	1983
3084	1989
3098	2008
3154	2063
3182	2158
3077	2169
3064	2182
3088	2187
431	2283
3083	2299
3181	2380
3125	2447
3079	2563
3133	2678
3117	2684
3109	2709
443	2721
289	2808
3111	2891
372	2893
436	2955
3097	3035
3118	3049
3149	3107
3074	3291
3180	3327
3126	3333
3102	3346
3155	3501
3162	3671
3171	3715
3115	3734
407	3780
3226	3781
3106	3865
3110	3877
3161	3900
3103	3945
409	4028
3101	4091
3087	4096
3113	4171
3146	4184
3144	4288
245	4309
218	4355
3173	4375
3236	4437
419	4603
298	4683
421	4691
3166	4840
373	4898
120	4908
144	4958
343	5027
384	5099
3108	5168
3086	5182
3124	5189
3178	5280
3112	5330
278	5337
3148	5340
275	5438
3092	5500
344	5510
3129	5725
364	5737
3235	5806
399	5810
353	5829
233	5882
418	5955
3172	5996
420	6187
3107	6229
216	6256
396	6265
271	6424
3231	6424
354	6431
3119	6437
437	6437
3176	6452
242	6646
3169	6652
339	6672
3150	6735
3222	6755
397	6829
3234	6860
3132	6912
3160	6971
3139	6978
3136	6996
365	7002
262	7152
243	7202
244	7375
400	7481
390	7518
3135	7522
3163	7621
3134	7649
3233	7734
241	7847
416	7904
395	8002
3167	8138
3137	8173
274	8236
319	8460
3143	8615
3223	8680
3168	8870
232	8878
282	8964
3147	9006
258	9039
3093	9098
248	9155
464	9156
313	9210
3090	9222
3170	9248
3175	9253
481	9298
322	9558
239	9694
389	9747
3145	9848
82	9883
143	10116
3159	10143
414	10166
3177	10182
266	10213
321	10481
406	10503
460	10560
3104	10609
3142	10687
261	10735
3140	10905
398	10939
3158	11043
83	11140
471	11152
3156	11371
3164	11493
331	11578
270	11627
291	11637
3165	11795
260	11805
408	11952
157	12171
538	12372
3224	12734
467	12791
324	12931
349	12986
392	13141
341	13359
516	13381
332	13422
323	13516
314	13632
2017	13737
366	13776
337	14166
2009	14206
340	14384
342	14482
302	14556
534	14558
411	14670
2000	15654
310	15726
454	15766
249	15779
391	15905
2023	15987
2022	16122
3230	16467
308	16639
376	17480
351	17725
393	17853
539	17872
423	17908
540	18138
3141	18191
502	18300
276	18375
430	18502
360	18796
264	18909
152	19142
367	19170
2002	19220
456	19264
224	19309
385	19397
217	19412
350	19842
320	19910
150	20002
422	20109
330	20263
160	20451
259	20655
316	20665
427	20696
309	20713
441	20788
254	20819
295	20924
415	20999
290	21146
137	21412
306	21415
473	21510
296	21563
525	21803
311	21843
267	21921
362	22011
386	22059
356	22273
146	22611
522	22755
79	22808
377	22811
508	23190
469	23449
228	23466
513	23573
164	23685
412	23816
247	23931
493	23952
357	23989
238	24037
315	24323
524	24346
369	24461
394	24496
455	24622
440	24623
449	25128
404	25199
480	25537
2004	25645
2003	25715
325	25924
2012	25972
355	26164
212	26310
303	26314
279	26452
532	26643
257	26696
253	27015
2010	27105
520	27223
317	27481
195	27570
72	27639
328	27671
153	27722
294	27864
304	28172
485	28469
533	28630
174	28997
265	29233
450	29509
2008	29600
495	29676
512	29730
280	29975
268	30061
403	30612
225	30654
252	30680
501	30839
346	31008
300	31209
263	31308
530	31794
487	31951
510	32126
229	32318
500	32548
361	32610
2021	33251
448	33443
438	33542
475	33659
167	33916
388	34026
434	34089
383	34237
223	34319
352	34467
307	34814
326	34834
478	34893
484	34996
363	35132
531	35288
336	35617
439	35818
347	35826
410	35854
301	35948
305	36061
470	36134
476	36180
447	36228
428	36244
468	36269
433	36304
329	36330
528	36449
526	36644
335	37202
515	37835
173	38216
536	38597
251	38699
312	38761
491	38834
401	39153
498	39169
465	39405
489	39468
474	40371
479	40561
482	40585
345	40766
486	40819
318	40861
545	41103
297	41145
359	41483
334	41512
546	41841
466	41850
348	42106
503	42243
161	42370
237	42528
461	43001
236	43164
453	43206
507	43400
128	43468
488	44034
483	44597
527	44759
463	44824
458	44986
492	45575
147	45764
496	45945
375	46300
116	46381
494	46488
380	46551
457	46566
445	47014
518	47852
509	47922
505	48066
405	48417
442	48639
472	48955
3002	49301
511	49620
432	50335
517	50675
462	51292
514	51660
504	51911
281	52030
417	52681
168	52812
446	53083
523	53143
387	56688
379	56775
2006	57091
127	58719
382	59341
537	59505
529	60495
358	60689
250	60945
444	60968
459	62800
499	63291
477	64620
490	64878
368	65614
327	65630
402	67497
284	67950
151	70374
285	73682
426	79061
497	86108
435	87149
293	95890
521	100796
519	104813
